iso,countryname,year,vaava,la_asger,ln_asger,xa,kakn_fix_asger,kakn_tot_asger,apg_raw_asger,apg_adj_asger,ls6_guerriero,lisa_r6,lisn_r6,papn_narrow1,papn_narrow2,yiyUS,y3,kakn_timo
AGO,Angola,1999,0.0752695,0.5682697,0.4317303,,,,16.17105,10.16347,0.65,,,1.66813,1.08964,0.0530638,0.0530638,0.050213
ALB,Albania,2000,0.2604788,0.5469543,0.4530457,,,,3.427578,2.591583,,,,1.2363,0.781964,0.105073,0.105073,0.11781
ARG,Argentina,1992,0.0673408,0.1103715,0.8896285,0.0578423,0.49485,0.861024,1.718276,1.026899,0.51,0.5791153,0.5050097,0.987342,0.621998,0.204238,0.204238,0.434148
AUS,Australia,1994,0.0330597,0.0518026,0.9481974,0.030805,0.5817788,1.151446,1.597915,1.573886,0.75,0.7670498,0.7494171,1.02491,0.88983,0.7448696,0.7448696,0.655155
AUT,Austria,1992,0.0257098,0.0831545,0.9168455,0.0468986,0.5425389,0.6005297,3.437,3.333419,0.79,0.616928,0.7945671,1.11263,0.954268,0.6892914,0.6892914,0.618504
AZE,Azerbaijan,1994,0.2567558,0.3717417,0.6282583,,,,1.71283,1.295266,0.46,,,1.26201,0.697708,0.1023267,0.1023267,0.105008
BDI,Burundi,1992,0.4736697,0.9283446,0.0716554,,,,14.39604,6.423029,,,,1.47128,0.718632,0.0247972,0.0247972,0.01133
BEL,Belgium,1999,0.0118396,0.0243244,0.9756756,0.022367,0.9176866,1.260717,2.080796,1.896726,0.74,0.5088143,0.74277,1.09696,0.958982,0.6119019,0.6119019,0.284348
BEN,Benin,1992,0.3456517,0.4917097,0.5082903,,,,1.831333,1.050891,,,,1.61419,0.930975,0.0350849,0.0350849,0.059045
BFA,Burkina Faso,1992,0.3061141,0.8963194,0.1036806,,,,19.59612,10.14703,,,,1.27684,0.757126,0.0254284,0.0254284,0.041873
BGD,Bangladesh,1992,0.2879804,0.6462778,0.3537222,,,,4.517372,2.811082,,,,1.13241,0.595257,0.038349,0.038349,0.064204
BGR,Bulgaria,1992,0.1193252,0.2123333,0.7876667,,,,1.989569,1.624815,0.54,,,1.18364,0.633223,0.2931316,0.2931316,0.469798
BHS,"Bahamas, The",1993,0.02433,0.0483333,0.9516667,,,,2.036677,1.74363,0.55,,,,,0.6021997,0.6021997,0.188436
BIH,Bosnia and Herzegovina,1998,0.1667115,0.3120159,0.6879841,,,,2.266878,1.520244,0.75,,,1.31288,0.770729,0.1264843,0.1264843,0.201651
BLR,Belarus,1994,0.1723188,0.2030289,0.7969711,,,,1.223617,0.8379925,0.56,,,1.21466,0.686287,0.2007615,0.2007615,1.0739
BLZ,Belize,1992,0.1597802,0.2479758,0.7520242,,,,1.733993,1.256121,,,,,,0.1455984,0.1455984,0.180811
BOL,Bolivia,1992,0.1502607,0.4251684,0.5748316,,,,4.182737,2.23289,0.57,,,1.14311,0.595915,0.0619235,0.0619235,0.118656
BRA,Brazil,1992,0.0698956,0.2550595,0.7449405,,,,4.556189,2.866949,0.72,,,0.866578,0.562864,0.1718672,0.1718672,0.333066
BRB,Barbados,1992,0.0344434,0.0591111,0.9408889,,,,1.761177,1.51101,0.8,,,,,0.4744428,0.4744428,0.281717
BRN,Brunei Darussalam,1992,0.0118787,0.0251784,0.9748216,,,,2.148554,1.846413,0.24,,,1.30421,0.837445,1.482856,1.482856,0.529484
BTN,Bhutan,1992,0.3324398,0.8663181,0.1336819,,,,13.01314,9.60736,,,,1.30713,0.65181,0.0829342,0.0829342,0.018341
BWA,Botswana,1992,0.0449676,0.2487766,0.7512234,,,,7.033295,4.827398,0.57,,,1.67132,1.09185,0.1697847,0.1697847,0.020197
CAN,Canada,1997,0.0191913,0.039,0.961,0.0424867,1.093369,1.242558,2.074061,2.123055,0.76,0.4686754,0.7657003,1.12968,0.968561,0.7869769,0.7869769,0.390184
CHE,Switzerland,1994,0.0164134,0.0443333,0.9556667,,,,2.779949,3.533834,0.85,,,1.15908,1.2142,0.9418492,0.9418492,0.621747
CHL,Chile,1992,0.0794109,0.1615219,0.8384781,0.1308813,0.7817339,0.9629255,2.233189,1.528633,0.64,0.4066648,0.6601277,1.07081,0.75827,0.2302411,0.2302411,0.178032
CHN,China,1992,0.2216669,0.5678889,0.4321111,,,,4.614584,2.7019,,,,1.22665,0.688146,0.0755927,0.0755927,
CIV,Cote d'Ivoire,1992,0.2970743,0.7564884,0.2435116,,,,7.350669,4.007625,,,,1.08922,0.746273,0.0588923,0.0588923,0.16816
CMR,Cameroon,1992,0.2132162,0.7066,0.2934,,,,8.886867,4.699083,,,,1.14365,0.658712,0.0588771,0.0588771,0.033455
COD,"Congo, Dem. Rep.",1998,0.4268258,0.7995669,0.2004331,,,,5.356996,2.967149,,,,1.58094,0.877541,0.0129477,0.0129477,0.04593
COG,"Congo, Rep.",1992,0.1150107,0.4140435,0.5859566,,,,5.437264,3.370152,,,,1.22065,0.840176,0.0529991,0.0529991,0.047365
COL,Colombia,1992,0.1563425,0.2954771,0.7045229,0.0302226,0.0743072,0.3751346,2.263173,1.243881,0.62,0.9265421,0.5631931,1.25541,0.676104,0.1864125,0.1864125,0.101789
COM,Comoros,1995,0.2937622,0.5759267,0.4240733,,,,3.264985,1.96945,0.44,,,1.51556,0.827264,0.0864176,0.0864176,0.063592
CPV,Cabo Verde,1992,0.1362333,0.3407969,0.6592032,,,,3.277854,2.102102,0.64,,,1.27753,0.98124,0.0591622,0.0591622,0.12472
CRI,Costa Rica,1992,0.1379558,0.2626385,0.7373616,0.0970933,0.3019038,0.7295906,2.225705,1.318488,0.7,0.7888599,0.6857795,,,0.2217448,0.2217448,0.48957
CYP,Cyprus,1992,0.0587926,0.1224397,0.8775603,0.0704435,0.5431503,0.723322,2.233612,1.917866,0.75,0.7004577,0.7530947,1.06188,0.707535,0.5564439,0.5564439,0.64133
DEU,Germany,1995,0.010052,0.0236673,0.9763327,,,,2.387322,2.451555,0.74,,,1.08485,0.924389,0.7408551,0.7408551,0.560108
DNK,Denmark,1992,0.0296775,0.049058,0.950942,0.0634505,1.313253,1.497777,1.686728,1.65084,0.79,0.5510197,0.7973093,0.986046,0.877516,0.6974681,0.6974681,1.12893
DOM,Dominican Republic,1992,0.1192227,0.1986631,0.8013369,0.0362055,0.1515264,0.4914817,1.831509,1.262855,0.67,0.8997857,0.638896,,,0.1419859,0.1419859,0.320418
ECU,Ecuador,1992,0.2143656,0.3239215,0.6760784,,,,1.755934,1.180676,0.53,,,1.19612,0.736307,0.1552713,0.1552713,0.114353
EGY,"Egypt, Arab Rep.",1992,0.167894,0.3664981,0.6335019,0.1046776,0.2020926,0.2731174,2.867263,1.858062,0.41,0.6321501,0.3651768,1.39746,0.791909,0.0707115,0.0707115,0.231605
ESP,Spain,1999,0.038763,0.0676212,0.9323788,,,,1.798473,1.377116,0.72,,,0.918343,0.790433,0.5373155,0.5373155,0.376254
EST,Estonia,1999,0.0393647,0.0806573,0.9193426,,,,2.141008,1.791765,0.67,,,1.08281,0.764056,0.2238396,0.2238396,0.416477
ETH,Ethiopia,1992,0.5385638,0.8848639,0.1151361,,,,6.584752,2.616064,,,,1.33931,0.758893,0.0155255,0.0155255,0.042281
FIN,Finland,1992,0.0452461,0.0854788,0.9145212,0.069638,0.80081,0.8401602,1.972308,1.519837,0.81,0.7075724,0.8148541,0.962194,0.860169,0.5948669,0.5948669,0.551124
FJI,Fiji,1992,0.178324,0.3070831,0.6929169,,,,2.042047,1.517587,0.81,,,0.978536,0.732309,0.1565185,0.1565185,0.14753
FRA,France,1992,0.0265154,0.0530398,0.9469602,0.0344798,0.6375775,0.8565232,2.05637,1.846803,0.77,0.7009152,0.7718817,1.07556,0.985394,0.6708591,0.6708591,0.388484
GAB,Gabon,1992,0.0829515,0.5377071,0.4622929,,,,12.85869,7.435781,0.46,,,1.7201,1.11586,0.2730553,0.2730553,0.038777
GBR,United Kingdom,1994,0.0127854,0.0208614,0.9791386,0.0212346,1.018277,1.250752,1.645115,1.699589,0.76,0.6013972,0.7620541,1.09809,0.964362,0.5896134,0.5896134,0.535761
GEO,Georgia,2000,0.2312513,0.5072713,0.4927287,,,,3.422415,2.080021,0.8,,,1.31439,0.706902,0.0669525,0.0669525,0.017792
GHA,Ghana,1992,0.4290808,0.5798501,0.4201499,,,,1.836314,1.062389,,,,1.61659,0.885247,0.0742442,0.0742442,0.094241
GIN,Guinea,1992,0.1998108,0.772799,0.227201,,,,13.62166,8.022179,,,,1.74351,0.898997,0.081185,0.081185,0.062065
GMB,"Gambia, The",1992,0.209877,0.6558484,0.3441516,,,,7.174368,5.057706,,,,1.99869,0.947714,0.0709179,0.0709179,0.114769
GNB,Guinea-Bissau,1995,0.5337348,0.7292666,0.2707334,,,,2.353163,1.319872,,,,1.48887,0.835497,0.0372112,0.0372112,0.036273
GRC,Greece,1999,0.0584175,0.1773237,0.8226763,0.0459522,0.2234595,0.3351243,3.474186,2.15919,0.66,0.7325501,0.6554989,1.07047,0.812989,0.4893233,0.4893233,0.127604
GTM,Guatemala,1992,0.2510531,0.4764581,0.5235419,0.0628213,0.0736565,0.2340683,2.71493,1.705064,0.66,0.9149214,0.5745483,,,0.106958,0.106958,0.227235
HND,Honduras,1992,0.2264566,0.4065505,0.5934495,0.0559671,0.0865396,0.4676362,2.340078,1.507911,,,,,,0.081505,0.081505,0.112729
HRV,Croatia,1999,0.0514042,0.174655,0.825345,,,,3.905061,2.5729,0.86,,,1.18028,0.752161,0.2475825,0.2475825,0.250782
HTI,Haiti,1992,0.2925399,0.6178518,0.3821482,,,,3.909934,2.109422,,,,,,0.0343241,0.0343241,0.078554
HUN,Hungary,1999,0.0556894,0.1303215,0.8696786,,,,2.540969,2.102074,0.72,,,1.04948,0.706465,0.3006684,0.3006684,1.41877
IDN,Indonesia,1992,0.196951,0.4570345,0.5429655,0.0468083,0.0583399,0.1258249,3.432105,2.52665,,,,1.12736,0.647651,0.0964687,0.0964687,0.107562
IND,India,1992,0.2654932,0.6611999,0.3388001,0.1241992,0.0726648,0.1995333,5.399228,3.302007,,,,1.1128,0.621806,0.0368148,0.0368148,0.085408
IRL,Ireland,1999,0.0310207,0.0801759,0.9198241,0.1062019,1.363182,1.977094,2.722716,2.270073,0.71,,0.7325005,0.949887,0.883967,0.7257925,0.7257925,0.255973
IRN,"Iran, Islamic Rep.",1992,0.1238088,0.2540047,0.7459953,0.0577972,0.1801594,0.2449901,2.409645,1.563706,0.51,0.771255,0.4730838,2.06373,1.29843,0.1045667,0.1045667,0.081666
IRQ,Iraq,1992,0.1661265,0.2450705,0.7549295,0.1116632,0.3872113,0.4048093,1.629468,1.091933,0.29,0.5227678,0.2436274,1.21913,0.95814,0.053585,0.053585,0.102234
ISL,Iceland,1999,0.0773296,0.0836667,0.9163333,,,,1.089431,0.9637272,0.85,,,1.23016,1.06962,0.7835394,0.7835394,0.50472
ISR,Israel,1999,0.0153187,0.0227778,0.9772222,0.0354602,1.577259,2.383046,1.498272,1.262589,0.76,0.444442,0.7649091,0.992445,0.730277,0.6543123,0.6543123,0.57187
ITA,Italy,1994,0.0301252,0.0632497,0.9367504,0.0652075,1.033114,1.207355,2.173801,1.769104,0.74,0.4372174,0.7494047,1.19319,0.967618,0.6830482,0.6830482,0.665181
JAM,Jamaica,1997,0.0739907,0.22,0.78,0.0168805,0.0608768,0.2290547,3.529934,2.333772,0.91,0.979467,0.9044494,,,0.1212622,0.1212622,0.04505
JOR,Jordan,1992,0.054186,0.0594615,0.9405385,,,,1.103516,0.7586669,0.55,,,1.20196,0.919973,0.0870413,0.0870413,1.08151
JPN,Japan,1998,0.016031,0.0662494,0.9337506,0.0399198,0.5860426,0.6163794,4.354827,3.729204,0.8,0.5019692,0.8048556,2.0372,1.67364,0.7842601,0.7842601,0.208211
KAZ,Kazakhstan,1996,0.1301987,0.2965777,0.7034223,,,,2.816668,2.170098,0.67,,,1.10374,0.702668,0.1379778,0.1379778,0.052782
KEN,Kenya,1992,0.2607612,0.682932,0.317068,0.0780953,0.0393291,0.1970139,6.106141,3.489223,,,,1.39386,0.792562,0.0546371,0.0546371,0.037605
KGZ,Kyrgyz Republic,1992,0.3706222,0.3866847,0.6133153,,,,1.070664,0.7236209,0.69,,,1.52284,0.739764,0.1535592,0.1535592,0.130591
KHM,Cambodia,1997,0.4254185,0.7618611,0.2381389,,,,4.320964,2.959564,,,,1.32865,0.658745,0.0297175,0.0297175,0.057296
KOR,"Korea, Rep.",1992,0.067404,0.160357,0.839643,0.073279,0.4140355,0.4373017,2.642417,1.220252,0.9,0.8912838,0.9006299,2.22739,1.60453,0.4019184,0.4019184,0.188104
KWT,Kuwait,1999,0.0042851,0.0234,0.9766,,,,5.567728,5.152203,0.32,,,0.979028,0.890296,0.8202861,0.8202861,0.139196
LAO,Lao PDR,1993,0.4519167,0.8126083,0.1873917,,,,5.259193,2.923028,,,,1.46551,0.745445,0.0350405,0.0350405,0.040957
LBN,Lebanon,1998,0.0624426,0.0985071,0.9014929,,,,1.640674,1.08608,,,,1.19093,0.757998,0.0981102,0.0981102,0.054767
LKA,Sri Lanka,1992,0.2522985,0.419914,0.580086,0.0191055,0.0269071,0.1242405,2.145268,1.530191,0.86,0.9893984,0.8163369,1.36709,0.718729,0.0898346,0.0898346,0.201656
LTU,Lithuania,1999,0.0710524,0.1858598,0.8141402,,,,2.984686,1.980868,0.66,,,1.0139,0.653022,0.2239966,0.2239966,0.265226
LUX,Luxembourg,1999,0.0071469,0.0170764,0.9829236,0.022367,1.316904,1.809162,2.413488,2.48618,0.63,,0.635672,1.17269,1.06453,1.164568,1.164568,0.700972
LVA,Latvia,1999,0.0493395,0.1654312,0.8345688,,,,3.819317,2.785206,0.71,,,1.09522,0.730312,0.2197555,0.2197555,0.263432
MAR,Morocco,1992,0.1527269,0.3576612,0.6423388,0.0230834,0.0424359,0.1166809,3.088982,2.095324,0.82,0.9727945,0.7924577,1.2796,0.939255,0.1207986,0.1207986,0.095506
MDA,Moldova,1999,0.2450557,0.4536671,0.5463328,,,,2.558174,1.701483,0.71,,,1.44764,0.708846,0.0413727,0.0413727,0.020778
MDG,Madagascar,1999,0.3284593,0.8172,0.1828,0.0569787,0.0135157,0.9802626,9.139931,4.875675,,,,1.32491,0.677661,0.0254416,0.0254416,0.02185
MEX,Mexico,1992,0.0567827,0.2234712,0.7765288,,,,4.780347,2.915118,0.56,,,0.906415,0.755385,0.3217205,0.3217205,0.019554
MKD,North Macedonia,1994,0.1062911,0.3364536,0.6635463,,,,4.26337,3.165229,,,,1.29709,0.714975,0.1414975,0.1414975,0.129426
MLI,Mali,1992,0.3802946,0.7482305,0.2517695,,,,4.842809,2.98019,0.76,,,1.3523,0.797101,0.017782,0.017782,0.037154
MNG,Mongolia,1992,0.2291097,0.4166332,0.5833668,,,,2.403042,1.305499,0.76,,,1.24249,0.657848,0.0611173,0.0611173,0.120368
MOZ,Mozambique,1995,0.3017058,0.8214533,0.1785467,,,,10.64844,5.692274,,,,1.15756,0.763712,0.0123813,0.0123813,0.01551
MRT,Mauritania,1995,0.2736885,0.6277989,0.3722011,,,,4.476196,2.608489,0.69,,,1.70404,0.967936,0.0496258,0.0496258,0.059849
MUS,Mauritius,1992,0.0981067,0.1609256,0.8390744,0.0478892,0.2622563,0.2882099,1.763117,1.047091,0.49,0.7510515,0.4616032,1.20164,0.924975,0.3116635,0.3116635,0.304006
MWI,Malawi,1992,0.3582706,0.8530863,0.1469137,0.1265059,0.0249413,0.0796174,10.40091,5.167279,,,,2.00244,0.964919,0.0245332,0.0245332,0.027401
MYS,Malaysia,1992,0.1493068,0.2320251,0.767975,,,,1.721397,0.9853516,0.46,,,1.21626,0.758539,0.2530486,0.2530486,0.527317
NAM,Namibia,1992,0.089415,0.4568034,0.5431966,,,,8.564116,5.347246,0.76,,,1.22759,0.838075,0.1331708,0.1331708,
NER,Niger,1992,0.3243447,0.7028738,0.2971262,,,,4.92782,2.710965,,,,1.46695,0.827473,0.0209938,0.0209938,0.017049
NGA,Nigeria,1992,0.2308451,0.6602218,0.3397782,,,,6.474219,4.206599,,,,1.87606,1.07532,0.019647,0.019647,0.071323
NIC,Nicaragua,1998,0.1862911,0.3488331,0.6511669,,,,2.339927,1.49357,0.76,,,,,0.0790246,0.0790246,0.148667
NLD,Netherlands,1992,0.0354504,0.0426992,0.9573008,0.0505748,1.194269,1.353676,1.213597,1.118785,0.76,0.6576074,0.7637632,0.866983,0.781331,0.6984774,0.6984774,0.479043
NOR,Norway,1992,0.0272703,0.0568131,0.9431869,0.0536476,0.941125,0.9869106,2.148584,2.121387,0.7,0.4098239,0.708135,1.14336,0.959634,0.7987156,0.7987156,0.689367
NPL,Nepal,1992,0.433311,0.8233577,0.1766423,,,,6.095914,3.084679,,,,1.10883,0.611757,0.0300602,0.0300602,0.029018
NZL,New Zealand,1992,0.0662164,0.1006667,0.8993334,0.0721314,0.6945009,1.54868,1.578504,1.351295,0.67,0.6405218,0.6720904,1.05597,0.838421,0.5475358,0.5475358,0.365625
PAK,Pakistan,1992,0.2309499,0.4891111,0.5108889,0.1074628,0.1257624,0.3546978,3.187996,2.232603,,,,1.465,0.744691,0.0700479,0.0700479,0.51808
PAN,Panama,1992,0.0723182,0.2478184,0.7521816,,,,4.22632,2.421329,0.55,,,,,0.1990786,0.1990786,0.132761
PER,Peru,1995,0.081801,0.333307,0.666693,0.0492315,0.1035737,0.1415934,5.611726,3.658994,0.64,0.7833362,0.6272303,1.12306,0.616231,0.1179475,0.1179475,0.066684
PHL,Philippines,1992,0.2180175,0.4374366,0.5625634,0.0315904,0.0419519,0.1828351,2.789005,1.258548,0.59,0.9405917,0.4922546,1.28765,0.689534,0.1044965,0.1044965,0.154271
POL,Poland,1999,0.0378781,0.1840827,0.8159173,0.1595366,0.8413461,0.8449919,5.730707,3.044438,0.7,,0.7379344,1.01175,0.623323,0.2979257,0.2979257,0.139911
